MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS ,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km),,
2013,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.3,15.1,19.1,15,439,,
2013,CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,E,30.4,20.6,26.0,11,416,,
2013,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,A6,X,13.2,8.0,10.9,26,251,,
2013,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,A6,E,17.2,10.4,14.2,20,227,,
2013,CHEVROLET,MALIBU,MID-SIZE,2.0,4,AS6,Z,11.5,7.9,9.9,29,228,,
2013,CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS6,X,10.5,6.8,8.9,32,205,,
2013,CHEVROLET,MALIBU ECO,MID-SIZE,2.4,4,AS6,X,9.4,6.4,8.0,35,184,,
2013,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,AS6,X,12.2,8.6,10.6,27,244,,
2013,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,M6,X,11.8,8.3,10.2,28,235,,
2013,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A4,X,15.7,11.8,14.0,20,322,,
2013,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,A4,X,16.9,12.5,14.9,19,343,,
2013,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,A4,E,22.3,16.7,19.8,14,317,,
2013,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317,,
2013,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,,
2013,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,18.8,13.0,16.2,17,373,,
2013,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A6,E,25.5,17.4,21.9,13,350,,
2013,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A4,X,16.7,13.4,15.2,19,350,,
2013,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.8,8,A4,X,17.7,13.1,15.6,18,359,,
2013,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.8,8,A4,E,23.3,17.6,20.7,14,331,,
2013,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317,,
2013,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,,
2013,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,19.6,13.4,16.8,17,386,,
2013,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A6,E,26.6,17.8,22.6,12,362,,
2013,CHEVROLET,SILVERADO HYBRID,PICKUP TRUCK - STANDARD,6.0,8,AV,X,11.5,9.9,10.8,26,248,,
2013,CHEVROLET,SILVERADO HYBRID 4WD,PICKUP TRUCK - STANDARD,6.0,8,AV,X,11.6,10.1,10.9,26,251,,
2013,CHEVROLET,SILVERADO XFE,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.3,10.7,13.3,21,306,,
2013,CHEVROLET,SILVERADO XFE,PICKUP TRUCK - STANDARD,5.3,8,A6,E,20.7,14.4,17.9,16,286,,
2013,CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,8.9,6.6,7.9,36,182,,
2013,CHEVROLET,SONIC,COMPACT,1.4,4,M6,X,8.5,6.2,7.5,38,173,,
2013,CHEVROLET,SONIC,COMPACT,1.8,4,AS6,X,9.6,6.6,8.3,34,191,,
2013,CHEVROLET,SONIC,COMPACT,1.8,4,M5,X,8.9,6.7,8.0,35,184,,
2013,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,AS6,X,8.9,6.6,7.9,36,182,,
2013,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,M6,X,8.5,6.2,7.5,38,173,,
2013,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,AS6,X,9.6,6.6,8.3,34,191,,
2013,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,M5,X,8.9,6.7,8.0,35,184,,
2013,CHEVROLET,SONIC RS,MID-SIZE,1.4,4,AS6,X,9.5,7.1,8.4,34,193,,
2013,CHEVROLET,SONIC RS,MID-SIZE,1.4,4,M6,X,8.7,7.0,7.9,36,182,,
2013,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,A4,X,8.3,6.3,7.4,38,170,,
2013,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,M5,X,7.5,6.2,6.9,41,159,,
2013,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317,,
2013,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,,
2013,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317,,
2013,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,,
2013,CHEVROLET,SUBURBAN 4WD HD,SUV - STANDARD,6.0,8,A6,X,22.8,15.3,19.4,15,446,,
2013,CHEVROLET,SUBURBAN HD,SUV - STANDARD,6.0,8,A6,X,22.7,15.0,19.2,15,442,,
2013,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317,,
2013,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,,
2013,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317,,
2013,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,,
2013,CHEVROLET,TAHOE HYBRID,SUV - STANDARD,6.0,8,AV,X,11.5,9.9,10.8,26,248,,
2013,CHEVROLET,TAHOE HYBRID 4WD,SUV - STANDARD,6.0,8,AV,X,11.6,10.1,10.9,26,251,,
2013,CHEVROLET,TRAVERSE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283,,
2013,CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290,,
2013,CHEVROLET,TRAX,SUV - SMALL,1.4,4,AS6,X,9.4,7.1,8.3,34,191,,
2013,CHEVROLET,TRAX,SUV - SMALL,1.4,4,M6,X,9.1,6.8,8.1,35,186,,
2013,CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4,AS6,X,10.0,7.8,9.0,31,207,,
2013,CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,12.3,7.6,10.2,28,235,,
2013,CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A4,X,11.7,8.2,10.1,28,232,,
2013,CHRYSLER,200 CONVERTIBLE,COMPACT,2.4,4,A6,X,13.3,8.7,11.2,25,258,,
2013,CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,X,12.5,8.1,10.5,27,242,,
2013,CHRYSLER,200 CONVERTIBLE FFV,COMPACT,3.6,6,A6,E,17.0,11.2,14.4,20,230,,
2013,CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A4,X,11.4,8.2,10.0,28,230,,
2013,CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A6,X,12.0,7.8,10.1,28,232,,
2013,CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,X,12.5,8.1,10.5,27,242,,
2013,CHRYSLER,200 SEDAN FFV,MID-SIZE,3.6,6,A6,E,17.0,11.2,14.4,20,230,,
2013,CHRYSLER,300 (FuelSaver MDS),FULL-SIZE,5.7,8,A5,X,15.1,9.5,12.6,22,290,,
2013,CHRYSLER,300 AWD,FULL-SIZE,3.6,6,A8,X,12.9,8.7,11.0,26,253,,
2013,CHRYSLER,300 AWD (FuelSaver MDS),FULL-SIZE,5.7,8,A5,X,16.1,10.1,13.4,21,308,,
2013,CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,X,12.9,8.7,11.0,26,253,,
2013,CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6,A8,E,17.3,11.8,14.8,19,237,,
2013,CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,X,12.3,7.6,10.2,28,235,,
2013,CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,E,16.8,10.3,13.9,20,222,,
2013,CHRYSLER,300 SRT (FuelSaver MDS),FULL-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317,,
2013,CHRYSLER,TOWN AND COUNTRY FFV,MINIVAN,3.6,6,A6,X,14.0,9.5,12.0,24,276,,
2013,CHRYSLER,TOWN AND COUNTRY FFV,MINIVAN,3.6,6,A6,E,19.7,13.3,16.8,17,269,,
2013,DODGE,AVENGER,MID-SIZE,2.4,4,A4,X,11.4,8.2,10.0,28,230,,
2013,DODGE,AVENGER,MID-SIZE,2.4,4,A6,X,12.0,7.8,10.1,28,232,,
2013,DODGE,AVENGER FFV,MID-SIZE,3.6,6,A6,X,12.5,8.1,10.5,27,242,,
2013,DODGE,AVENGER FFV,MID-SIZE,3.6,6,A6,E,17.0,11.2,14.4,20,230,,
2013,DODGE,CHALLENGER,COMPACT,3.6,6,A5,X,13.2,8.7,11.2,25,258,,
2013,DODGE,CHALLENGER,COMPACT,5.7,8,M6,X,15.6,10.1,13.1,22,301,,
2013,DODGE,CHALLENGER (FuelSaver MDS),COMPACT,5.7,8,A5,X,15.1,9.5,12.6,22,290,,
2013,DODGE,CHALLENGER SRT,COMPACT,6.4,8,M6,Z,16.8,10.4,13.9,20,320,,
2013,DODGE,CHALLENGER SRT (FuelSaver MDS),COMPACT,6.4,8,A5,Z,16.7,10.3,13.8,20,317,,
2013,DODGE,CHARGER,FULL-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258,,
2013,DODGE,CHARGER,FULL-SIZE,3.6,6,A8,X,12.3,7.6,10.2,28,235,,
2013,DODGE,CHARGER (FuelSaver MDS),FULL-SIZE,5.7,8,A5,X,15.1,9.5,12.6,22,290,,
2013,DODGE,CHARGER AWD,FULL-SIZE,3.6,6,A8,X,12.9,8.7,11.0,26,253,,
2013,DODGE,CHARGER AWD (FuelSaver MDS),FULL-SIZE,5.7,8,A5,X,16.1,10.1,13.4,21,308,,
2013,DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,X,12.9,8.7,11.0,26,253,,
2013,DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6,A8,E,17.3,11.8,14.8,19,237,,
2013,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258,,
2013,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A5,E,18.3,12.6,15.7,18,251,,
2013,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,X,12.3,7.6,10.2,28,235,,
2013,DODGE,CHARGER FFV,FULL-SIZE,3.6,6,A8,E,16.8,10.3,13.9,20,222,,
2013,DODGE,CHARGER SRT (FuelSaver MDS),FULL-SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317,,
2013,DODGE,DART,MID-SIZE,2.0,4,A6,X,9.9,7.0,8.6,33,198,,
2013,DODGE,DART,MID-SIZE,2.0,4,M6,X,9.4,6.5,8.1,35,186,,
2013,DODGE,DART,MID-SIZE,2.4,4,A6,X,10.1,7.9,9.1,31,209,,
2013,DODGE,DART,MID-SIZE,2.4,4,M6,X,10.2,7.1,8.8,32,202,,
2013,DODGE,DART FFV,MID-SIZE,2.0,4,A6,X,9.9,7.0,8.6,33,198,,
2013,DODGE,DART FFV,MID-SIZE,2.0,4,A6,E,14.3,9.7,12.2,23,195,,
2013,DODGE,DART TURBO,MID-SIZE,1.4,4,AM6,X,8.6,6.4,7.6,37,175,,
2013,DODGE,DART TURBO,MID-SIZE,1.4,4,M6,X,8.6,5.9,7.4,38,170,,
2013,DODGE,DART TURBO AERO,MID-SIZE,1.4,4,AM6,X,8.4,5.9,7.3,39,168,,
2013,DODGE,DART TURBO AERO,MID-SIZE,1.4,4,M6,X,8.5,5.8,7.3,39,168,,
2013,DODGE,DURANGO AWD (FuelSaver MDS),SUV - STANDARD,5.7,8,A6,X,18.4,11.8,15.4,18,354,,
2013,DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6,A5,X,14.6,10.4,12.7,22,292,,
2013,DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6,A5,E,19.1,14.1,16.9,17,270,,
2013,DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,X,13.7,9.4,11.8,24,271,,
2013,DODGE,GRAND CARAVAN FFV,MINIVAN,3.6,6,A6,E,19.1,13.1,16.4,17,262,,
2013,DODGE,JOURNEY,SUV - SMALL,2.4,4,A4,X,12.7,9.1,11.1,25,255,,
2013,DODGE,JOURNEY AWD,SUV - SMALL,3.6,6,A6,X,14.4,9.7,12.3,23,283,,
2013,DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,X,14.2,9.4,12.0,24,276,,
2013,DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,E,18.9,12.8,16.2,17,259,,
2013,FIAT,500 ABARTH,MINICOMPACT,1.4,4,M5,X,8.3,6.8,7.7,37,177,,
2013,FIAT,500 ABARTH CABRIO,MINICOMPACT,1.4,4,M5,X,8.3,6.8,7.7,37,177,,
2013,FIAT,500 CABRIO,MINICOMPACT,1.4,4,A6,X,8.6,6.8,7.8,36,179,,
2013,FIAT,500 CABRIO,MINICOMPACT,1.4,4,M5,X,7.9,6.3,7.2,39,166,,
2013,FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,A6,X,8.6,6.8,7.8,36,179,,
2013,FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,M5,X,7.6,5.9,6.8,42,156,,
2013,FIAT,500 HATCHBACK TURBO,MINICOMPACT,1.4,4,M5,X,8.3,6.8,7.7,37,177,,
2013,FORD,C-MAX HYBRID,FULL-SIZE,2.0,4,AV,X,5.5,6.4,5.9,48,136,,
2013,FORD,E150 VAN FFV,VAN - CARGO,4.6,8,A4,X,17.9,14.2,16.2,17,373,,
2013,FORD,E150 VAN FFV,VAN - CARGO,4.6,8,A4,E,24.5,19.4,22.2,13,355,,
2013,FORD,E150 VAN FFV,VAN - CARGO,5.4,8,A4,X,19.1,14.6,17.1,17,393,,
2013,FORD,E150 VAN FFV,VAN - CARGO,5.4,8,A4,E,24.7,19.4,22.3,13,357,,
2013,FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8,A4,X,18.6,14.6,16.8,17,386,,
2013,FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8,A4,E,25.5,20.0,23.0,12,368,,
2013,FORD,E150 WAGON FFV,VAN - PASSENGER,5.4,8,A4,X,19.9,15.1,17.7,16,407,,
2013,FORD,E150 WAGON FFV,VAN - PASSENGER,5.4,8,A4,E,25.7,20.0,23.2,12,371,,
2013,FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8,A4,X,20.6,15.5,18.3,15,421,,
2013,FORD,E350 WAGON FFV,VAN - PASSENGER,5.4,8,A4,E,26.7,20.5,23.9,12,382,,
2013,FORD,EDGE,SUV - SMALL,2.0,4,A6,X,11.3,7.9,9.8,29,225,,
2013,FORD,EDGE,SUV - SMALL,3.5,6,AS6,X,12.6,8.6,10.8,26,248,,
2013,FORD,EDGE AWD,SUV - SMALL,3.5,6,AS6,X,13.3,9.3,11.5,25,265,,
2013,FORD,EDGE AWD,SUV - SMALL,3.7,6,AS6,X,13.6,10.3,12.1,23,278,,
2013,FORD,ESCAPE,SUV - SMALL,1.6,4,AS6,X,10.4,7.2,9.0,31,207,,
2013,FORD,ESCAPE,SUV - SMALL,2.0,4,AS6,X,10.9,8.0,9.6,29,221,,
2013,FORD,ESCAPE,SUV - SMALL,2.5,4,AS6,X,10.9,7.5,9.4,30,216,,
2013,FORD,ESCAPE AWD,SUV - SMALL,1.6,4,AS6,X,10.5,7.9,9.3,30,214,,
2013,FORD,ESCAPE AWD,SUV - SMALL,2.0,4,AS6,X,11.2,8.2,9.8,29,225,,
2013,FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8,A6,X,18.2,13.3,16.0,18,368,,
2013,FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8,A6,E,24.4,18.0,21.5,13,344,,
2013,FORD,EXPLORER,SUV - STANDARD,2.0,4,A6,X,11.8,8.3,10.2,28,235,,
2013,FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,X,13.7,9.7,11.9,24,274,,
2013,FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,E,18.3,12.9,15.9,18,254,,
2013,FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,X,14.3,10.3,12.5,23,288,,
2013,FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,E,18.9,13.9,16.7,17,267,,
2013,FORD,F150,PICKUP TRUCK - STANDARD,3.5,6,A6,X,14.5,10.6,12.7,22,292,,
2013,FORD,F150,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,14.6,10.7,12.9,22,297,,
2013,FORD,F150,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,18.3,12.9,15.9,18,366,,
2013,FORD,F150 4X4,PICKUP TRUCK - STANDARD,3.5,6,A6,X,15.7,11.3,13.8,20,317,,
2013,FORD,F150 4X4,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,15.7,11.3,13.8,20,317,,
2013,FORD,F150 4X4,PICKUP TRUCK - STANDARD,6.2,8,AS6,X,20.1,14.3,17.5,16,403,,
2013,FORD,F150 FFV,PICKUP TRUCK - STANDARD,3.7,6,A6,X,14.0,10.3,12.4,23,285,,
2013,FORD,F150 FFV,PICKUP TRUCK - STANDARD,3.7,6,A6,E,19.0,13.8,16.7,17,267,,
2013,FORD,F150 FFV,PICKUP TRUCK - STANDARD,3.7,6,AS6,X,14.0,10.3,12.4,23,285,,
2013,FORD,F150 FFV,PICKUP TRUCK - STANDARD,3.7,6,AS6,E,18.9,13.8,16.6,17,266,,
2013,FORD,F150 FFV,PICKUP TRUCK - STANDARD,5.0,8,A6,X,15.9,11.4,13.9,20,320,,
2013,FORD,F150 FFV,PICKUP TRUCK - STANDARD,5.0,8,A6,E,21.1,15.4,18.5,15,296,,
2013,FORD,F150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS6,X,16.0,11.5,14.0,20,322,,
2013,FORD,F150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,21.2,15.5,18.6,15,298,,
2013,FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,A6,X,14.9,11.3,13.3,21,306,,
2013,FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,A6,E,20.0,15.2,17.8,16,285,,
2013,FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,AS6,X,14.9,11.3,13.3,21,306,,
2013,FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6,AS6,E,20.0,15.2,17.8,16,285,,
2013,FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,A6,X,16.7,12.5,14.8,19,340,,
2013,FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,A6,E,22.3,16.9,19.9,14,318,,
2013,FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS6,X,16.8,12.6,14.9,19,343,,
2013,FORD,F150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,22.5,17.1,20.1,14,322,,
2013,FORD,FIESTA,SUBCOMPACT,1.6,4,A6,X,8.1,6.2,7.2,39,166,,
2013,FORD,FIESTA,SUBCOMPACT,1.6,4,M5,X,8.1,6.2,7.2,39,166,,
2013,FORD,FIESTA SFE,SUBCOMPACT,1.6,4,A6,X,8.1,5.9,7.1,40,163,,
2013,FORD,FLEX,SUV - STANDARD,3.5,6,AS6,X,13.3,9.5,11.6,24,267,,
2013,FORD,FLEX AWD NA,SUV - STANDARD,3.5,6,AS6,X,13.7,10.2,12.1,23,278,,
2013,FORD,FLEX AWD TC,SUV - STANDARD,3.5,6,AS6,X,14.7,10.4,12.8,22,294,,
2013,FORD,FOCUS,COMPACT,2.0,4,M6,X,10.2,7.4,9.0,31,207,,
2013,FORD,FOCUS FFV,COMPACT,2.0,4,A6,X,8.7,6.2,7.6,37,175,,
2013,FORD,FOCUS FFV,COMPACT,2.0,4,A6,E,11.6,8.2,10.1,28,162,,
2013,FORD,FOCUS FFV,COMPACT,2.0,4,AS6,X,8.7,6.2,7.6,37,175,,
2013,FORD,FOCUS FFV,COMPACT,2.0,4,AS6,E,11.6,8.2,10.1,28,162,,
2013,FORD,FOCUS FFV,COMPACT,2.0,4,M5,X,9.1,6.6,8.0,35,184,,
2013,FORD,FOCUS FFV,COMPACT,2.0,4,M5,E,11.9,8.8,10.5,27,168,,
2013,FORD,FOCUS SFE FFV,COMPACT,2.0,4,A6,X,8.4,5.8,7.2,39,166,,
2013,FORD,FOCUS SFE FFV,COMPACT,2.0,4,A6,E,11.6,8.3,10.1,28,162,,
2013,FORD,FUSION,MID-SIZE,1.6,4,AS6,X,10.0,6.6,8.5,33,196,,
2013,FORD,FUSION,MID-SIZE,1.6,4,M6,X,9.3,6.4,8.0,35,184,,
2013,FORD,FUSION,MID-SIZE,2.0,4,AS6,X,10.5,7.1,9.0,31,207,,
2013,FORD,FUSION,MID-SIZE,2.5,4,AS6,X,10.5,7.0,8.9,32,205,,
2013,FORD,FUSION (Auto Start-Stop),MID-SIZE,1.6,4,AS6,X,9.8,6.4,8.3,34,191,,
2013,FORD,FUSION AWD,MID-SIZE,2.0,4,AS6,X,10.9,7.5,9.4,30,216,,
2013,FORD,FUSION HYBRID,MID-SIZE,2.0,4,AV,X,5.3,5.7,5.5,51,126,,
2013,FORD,MUSTANG,SUBCOMPACT,3.7,6,A6,X,12.2,7.5,10.1,28,232,,
2013,FORD,MUSTANG,SUBCOMPACT,3.7,6,M6,X,12.7,8.1,10.6,27,244,,
2013,FORD,MUSTANG,SUBCOMPACT,5.0,8,A6,X,13.3,9.3,11.5,25,265,,
2013,FORD,MUSTANG,SUBCOMPACT,5.0,8,M6,X,15.4,9.4,12.7,22,292,,
2013,FORD,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,16.0,10.1,13.3,21,306,,
2013,FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,3.7,6,A6,X,12.5,8.2,10.5,27,242,,
2013,FORD,TAURUS,FULL-SIZE,2.0,4,AS6,X,10.5,7.4,9.1,31,209,,
2013,FORD,TAURUS AWD,FULL-SIZE,3.5,6,AS6,X,13.7,9.3,11.7,24,269,,
2013,FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,X,12.1,8.2,10.4,27,239,,
2013,FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,E,17.1,11.2,14.5,19,232,,
2013,FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,X,13.0,9.1,11.3,25,260,,
2013,FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6,AS6,E,18.4,12.5,15.7,18,251,,
2013,FORD,TRANSIT CONNECT VAN,SPECIAL PURPOSE VEHICLE,2.0,4,A4,X,11.3,8.8,10.2,28,235,,
2013,FORD,TRANSIT CONNECT WAGON,SPECIAL PURPOSE VEHICLE,2.0,4,A4,X,10.9,8.8,9.9,29,228,,
2013,GMC,ACADIA,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283,,
2013,GMC,ACADIA AWD,SUV - STANDARD,3.6,6,A6,X,14.9,10.4,12.9,22,297,,
2013,GMC,SAVANA 1500 CARGO,VAN - CARGO,4.3,6,A4,X,15.7,11.9,14.0,20,322,,
2013,GMC,SAVANA 1500 CARGO,VAN - CARGO,5.3,8,A4,X,18.0,13.4,15.9,18,366,,
2013,GMC,SAVANA 1500 CARGO,VAN - CARGO,5.3,8,A4,E,23.5,17.7,20.9,14,334,,
2013,GMC,SAVANA 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.4,17,377,,
2013,GMC,SAVANA 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,E,25.3,19.3,22.6,12,362,,
2013,GMC,SAVANA 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.6,13.9,16.5,17,380,,
2013,GMC,SAVANA 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,E,23.9,18.5,21.5,13,344,,
2013,GMC,SAVANA 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.4,17,377,,
2013,GMC,SAVANA 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,E,25.3,19.3,22.6,12,362,,
2013,GMC,SAVANA 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.6,13.9,16.5,17,380,,
2013,GMC,SAVANA 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,E,23.9,18.5,21.5,13,344,,
2013,GMC,SAVANA 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,18.3,14.2,16.4,17,377,,
2013,GMC,SAVANA 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,E,25.3,19.3,22.6,12,362,,
2013,GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.1,14.2,18.0,16,414,,
2013,GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,E,28.3,19.4,24.3,12,389,,
2013,GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,21.9,15.0,18.8,15,432,,
2013,GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,E,30.0,20.4,25.7,11,411,,
2013,GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.1,14.2,18.0,16,414,,
2013,GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,E,28.3,19.4,24.3,12,389,,
2013,GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.3,15.1,19.1,15,439,,
2013,GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,E,30.3,20.6,25.9,11,414,,
2013,GMC,SIERRA,PICKUP TRUCK - STANDARD,4.3,6,A4,X,15.7,11.8,14.0,20,322,,
2013,GMC,SIERRA,PICKUP TRUCK - STANDARD,4.8,8,A4,X,16.9,12.5,14.9,19,343,,
2013,GMC,SIERRA,PICKUP TRUCK - STANDARD,4.8,8,A4,E,22.3,16.7,19.8,14,317,,
2013,GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317,,
2013,GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,,
2013,GMC,SIERRA,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,18.8,13.0,16.2,17,373,,
2013,GMC,SIERRA,PICKUP TRUCK - STANDARD,6.2,8,A6,E,25.5,17.4,21.9,13,350,,
2013,GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,4.3,6,A4,X,16.7,13.4,15.2,19,350,,
