MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS ,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km),,
2013,BENTLEY,CONTINENTAL GT,COMPACT,4.0,8,AS8,Z,15.4,9.8,12.9,22,297,,
2013,BENTLEY,CONTINENTAL GT,COMPACT,6.0,12,AS6,Z,20.7,13.1,17.3,16,398,,
2013,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8,AS8,Z,16.7,10.6,14.0,20,322,,
2013,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12,AM6,Z,21.1,13.1,17.5,16,403,,
2013,BENTLEY,CONTINENTAL SUPERSPORTS CONVERTIBLE,SUBCOMPACT,6.0,12,AM6,Z,20.7,13.1,17.3,16,398,,
2013,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,14.9,19.0,15,437,,
2013,BMW,128i CABRIOLET,SUBCOMPACT,3.0,6,A6,Z,12.9,8.8,11.0,26,253,,
2013,BMW,128i CABRIOLET,SUBCOMPACT,3.0,6,M6,Z,12.1,8.3,10.4,27,239,,
2013,BMW,128i COUPE,SUBCOMPACT,3.0,6,A6,Z,12.8,8.1,10.7,26,246,,
2013,BMW,128i COUPE,SUBCOMPACT,3.0,6,M6,Z,12.1,8.3,10.4,27,239,,
2013,BMW,135i CABRIOLET,SUBCOMPACT,3.0,6,AM7,Z,13.3,9.4,11.5,25,265,,
2013,BMW,135i CABRIOLET,SUBCOMPACT,3.0,6,M6,Z,12.0,8.1,10.3,27,237,,
2013,BMW,135i COUPE,SUBCOMPACT,3.0,6,AM7,Z,13.2,9.4,11.5,25,265,,
2013,BMW,135i COUPE,SUBCOMPACT,3.0,6,M6,Z,11.8,8.3,10.2,28,235,,
2013,BMW,320i,COMPACT,2.0,4,A8,Z,9.8,6.3,8.2,34,189,,
2013,BMW,320i,COMPACT,2.0,4,M6,Z,10.2,6.5,8.5,33,196,,
2013,BMW,328i,COMPACT,2.0,4,A8,Z,9.9,6.6,8.4,34,193,,
2013,BMW,328i,COMPACT,2.0,4,M6,Z,10.3,6.7,8.7,32,200,,
2013,BMW,328i CABRIOLET,SUBCOMPACT,3.0,6,A6,Z,12.9,8.8,11.0,26,253,,
2013,BMW,328i CABRIOLET,SUBCOMPACT,3.0,6,M6,Z,13.7,8.8,11.5,25,265,,
2013,BMW,328i COUPE,SUBCOMPACT,3.0,6,A6,Z,12.8,8.1,10.7,26,246,,
2013,BMW,328i COUPE,SUBCOMPACT,3.0,6,M6,Z,12.1,8.3,10.4,27,239,,
2013,BMW,328i xDRIVE,COMPACT,2.0,4,A8,Z,10.3,7.2,8.9,32,205,,
2013,BMW,328i xDRIVE COUPE,SUBCOMPACT,3.0,6,A6,Z,13.3,9.3,11.5,25,265,,
2013,BMW,328i xDRIVE COUPE,SUBCOMPACT,3.0,6,M6,Z,13.7,9.0,11.6,24,267,,
2013,BMW,335i,COMPACT,3.0,6,A8,Z,10.4,7.2,9.0,31,207,,
2013,BMW,335i,COMPACT,3.0,6,M6,Z,12.0,8.1,10.3,27,237,,
2013,BMW,335i CABRIOLET,SUBCOMPACT,3.0,6,A6,Z,13.1,8.8,11.2,25,258,,
2013,BMW,335i CABRIOLET,SUBCOMPACT,3.0,6,M6,Z,12.0,8.1,10.3,27,237,,
2013,BMW,335i COUPE,SUBCOMPACT,3.0,6,A6,Z,13.1,8.8,11.2,25,258,,
2013,BMW,335i COUPE,SUBCOMPACT,3.0,6,M6,Z,12.0,8.1,10.3,27,237,,
2013,BMW,335i xDRIVE,COMPACT,3.0,6,A8,Z,11.0,7.5,9.4,30,216,,
2013,BMW,335i xDRIVE,COMPACT,3.0,6,M6,Z,12.2,8.6,10.6,27,244,,
