MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km)
2002,ACURA,1.7EL,COMPACT,1.7,4,A4,X,9.5,7.3,8.5,33,196
2002,ACURA,1.7EL,COMPACT,1.7,4,M5,X,8.8,7.2,8.1,35,186
2002,ACURA,3.2CL,COMPACT,3.2,6,AS5,Z,13.6,8.8,11.4,25,262
2002,ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,13.5,8.8,11.4,25,262
2002,ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,15,10.7,13.1,22,301
2002,ACURA,MDX,SUV,3.5,6,A5,Z,15.5,11.1,13.5,21,311
2002,ACURA,NSX,TWO-SEATER,3,6,AS4,Z,15.3,10.9,13.3,21,306
2002,ACURA,NSX,TWO-SEATER,3.2,6,M6,Z,15.6,10.7,13.4,21,308
2002,ACURA,RSX,SUBCOMPACT,2,4,AS5,X,11.1,7.9,9.6,29,221
2002,ACURA,RSX,SUBCOMPACT,2,4,M5,X,10.1,7.9,9.1,31,209
2002,ACURA,RSX,SUBCOMPACT,2,4,M6,Z,11.1,8.2,9.8,29,225
2002,AUDI,A4,COMPACT,1.8,4,AV,Z,12.9,8.9,11.1,25,255
2002,AUDI,A4,COMPACT,1.8,4,M5,Z,12,8.2,10.3,27,237
2002,AUDI,A4 QUATTRO,COMPACT,1.8,4,AS5,Z,13.7,9.1,11.7,24,269
2002,AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,12.8,8.9,11,26,253
2002,AUDI,A4 QUATTRO,COMPACT,3,6,AS5,Z,15.1,9.9,12.8,22,294
2002,AUDI,A4 QUATTRO,COMPACT,3,6,M6,Z,15,10.2,12.8,22,294
2002,AUDI,A6,MID-SIZE,3,6,AV,Z,14.2,10.1,12.3,23,283
2002,AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,3,6,AS5,Z,15.1,9.9,12.8,22,294
2002,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,AS5,Z,15.4,10.5,13.2,21,304
2002,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,M6,Z,15.3,10.5,13.2,21,304
2002,AUDI,A6 QUATTRO,MID-SIZE,3,6,AS5,Z,15.1,9.9,12.8,22,294
2002,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,AS5,Z,15.4,10.3,13.1,22,301
2002,AUDI,A8 QUATTRO,MID-SIZE,4.2,8,AS5,Z,15.4,10.3,13.1,22,301
2002,AUDI,A8L QUATTRO,FULL-SIZE,4.2,8,AS5,Z,15.4,10.3,13.1,22,301
2002,AUDI,ALLROAD QUATTRO,SUV,2.7,6,AS5,Z,17,12.3,14.9,19,343
2002,AUDI,ALLROAD QUATTRO,SUV,2.7,6,M6,Z,16.5,12.2,14.6,19,336
2002,AUDI,S4 QUATTRO,COMPACT,2.7,6,AS5,Z,15.3,10.7,13.3,21,306
2002,AUDI,S4 QUATTRO,COMPACT,2.7,6,M6,Z,15.2,10.9,13.3,21,306
2002,AUDI,S6 AVANT QUATTRO,STATION WAGON - MID-SIZE,4.2,8,AS5,Z,19,12.3,16,18,368
