MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km)
2008,ACURA,CSX,COMPACT,2,4,AS5,X,10.9,7.8,9.5,30,219
2008,ACURA,CSX,COMPACT,2,4,M5,X,10,7.6,8.9,32,205
2008,ACURA,CSX,COMPACT,2,4,M6,Z,11.6,8.1,10,28,230
2008,ACURA,MDX AWD,SUV,3.7,6,AS5,Z,15.4,11.8,13.8,20,317
2008,ACURA,RDX AWD TURBO,SUV,2.3,4,AS5,Z,14,11,12.7,22,292
2008,ACURA,RL AWD,MID-SIZE,3.5,6,AS5,Z,14.5,9.9,12.4,23,285
2008,ACURA,TL,MID-SIZE,3.2,6,AS5,Z,13.1,8.9,11.2,25,258
2008,ACURA,TL,MID-SIZE,3.5,6,AS5,Z,13.8,9.3,11.8,24,271
2008,ACURA,TL,MID-SIZE,3.5,6,M6,Z,13.1,8.7,11.1,25,255
2008,ACURA,TSX,COMPACT,2.4,4,AS5,Z,11.9,8.3,10.3,27,237
2008,ACURA,TSX,COMPACT,2.4,4,M6,Z,12.2,8.6,10.6,27,244
2008,ASTON MARTIN,DB9 COUPE,MINICOMPACT,5.9,12,AS6,Z,21.2,13.3,17.6,16,405
2008,ASTON MARTIN,DB9 COUPE,MINICOMPACT,5.9,12,M6,Z,23,14.4,19.1,15,439
2008,ASTON MARTIN,DB9 VOLANTE,MINICOMPACT,5.9,12,AS6,Z,20.7,13.8,17.6,16,405
2008,ASTON MARTIN,DB9 VOLANTE,MINICOMPACT,5.9,12,M6,Z,23,14.4,19.1,15,439
2008,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.3,8,AM6,Z,17.9,11.9,15.2,19,350
2008,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.3,8,M6,Z,19,12.7,16.2,17,373
2008,AUDI,A3,STATION WAGON - SMALL,2,4,AS6,Z,10.6,8.2,9.6,29,221
2008,AUDI,A3,STATION WAGON - SMALL,2,4,M6,Z,11.5,8.1,10,28,230
2008,AUDI,A3 QUATTRO,STATION WAGON - SMALL,3.2,6,AS6,Z,12.8,9.5,11.3,25,260
2008,AUDI,A4,COMPACT,2,4,AV,Z,11.2,8,9.7,29,223
2008,AUDI,A4,COMPACT,2,4,M6,Z,11.6,7.5,9.8,29,225
2008,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,2,4,AS6,Z,12.2,8.6,10.6,27,244
2008,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,2,4,M6,Z,12,8.3,10.4,27,239
2008,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3.1,6,AS6,Z,13.6,9.5,11.8,24,271
2008,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3.1,6,M6,Z,15.2,9.6,12.7,22,292
2008,AUDI,A4 CABRIOLET,SUBCOMPACT,2,4,AV,Z,11.2,8,9.7,29,223
2008,AUDI,A4 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AS6,Z,12.2,8.6,10.6,27,244
2008,AUDI,A4 CABRIOLET QUATTRO,SUBCOMPACT,3.1,6,AS6,Z,14,9.6,12,24,276
2008,AUDI,A4 QUATTRO,COMPACT,2,4,AS6,Z,12.2,8.6,10.6,27,244
2008,AUDI,A4 QUATTRO,COMPACT,2,4,M6,Z,12,8.3,10.4,27,239
2008,AUDI,A4 QUATTRO,COMPACT,3.1,6,AS6,Z,13.6,9.5,11.8,24,271
2008,AUDI,A4 QUATTRO,COMPACT,3.1,6,M6,Z,15.2,9.6,12.7,22,292
2008,AUDI,A5 QUATTRO,SUBCOMPACT,3.2,6,AS6,Z,13.1,9,11.3,25,260
2008,AUDI,A5 QUATTRO,SUBCOMPACT,3.2,6,M6,Z,14.3,8.5,11.6,24,267
2008,AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,3.1,6,AS6,Z,14,9.6,12,24,276
2008,AUDI,A6 QUATTRO,MID-SIZE,3.1,6,AS6,Z,13.6,9.5,11.8,24,271
2008,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,AS6,Z,14.7,10.4,12.8,22,294
2008,AUDI,A8,MID-SIZE,4.2,8,AS6,Z,14.7,10.4,12.8,22,294
2008,AUDI,A8L,FULL-SIZE,4.2,8,AS6,Z,14.7,10.4,12.8,22,294
2008,AUDI,A8L,FULL-SIZE,6,12,AS6,Z,18.2,12.2,15.5,18,357
2008,AUDI,Q7,SUV,3.6,6,AS6,Z,16.6,12.1,14.6,19,336
2008,AUDI,Q7,SUV,4.2,8,AS6,Z,19.3,13.8,16.8,17,386
2008,AUDI,R8,TWO-SEATER,4.2,8,AS6,Z,17.9,12.5,15.4,18,354
2008,AUDI,R8,TWO-SEATER,4.2,8,M6,Z,18.7,12,15.7,18,361
2008,AUDI,RS4,COMPACT,4.2,8,M6,Z,18.7,12,15.7,18,361
2008,AUDI,S4,COMPACT,4.2,8,AS6,Z,17.1,11.2,14.5,19,334
2008,AUDI,S4,COMPACT,4.2,8,M6,Z,17.8,12,15.2,19,350
2008,AUDI,S4 AVANT,STATION WAGON - SMALL,4.2,8,AS6,Z,17.2,11.2,14.5,19,334
2008,AUDI,S4 AVANT,STATION WAGON - SMALL,4.2,8,M6,Z,17.8,12,15.2,19,350
2008,AUDI,S4 CABRIOLET,SUBCOMPACT,4.2,8,AS6,Z,17.2,11.2,14.5,19,334
2008,AUDI,S4 CABRIOLET,SUBCOMPACT,4.2,8,M6,Z,18,12.1,15.3,18,352
2008,AUDI,S5,SUBCOMPACT,4.2,8,AS6,Z,14.4,10.5,12.6,22,290
2008,AUDI,S5,SUBCOMPACT,4.2,8,M6,Z,16.8,11.1,14.2,20,327
2008,AUDI,S6,MID-SIZE,5.2,10,AS6,Z,16.9,12.2,14.8,19,340
2008,AUDI,S8,MID-SIZE,5.2,10,AS6,Z,18.4,12.7,15.8,18,363
2008,AUDI,TT COUPE,SUBCOMPACT,2,4,AS6,Z,10.3,7.5,9.1,31,209
