MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km)
2011,ACURA,CSX,COMPACT,2.0,4,AS5,X,10.9,7.8,9.5,30,219
2011,ACURA,CSX,COMPACT,2.0,4,M5,X,10.0,7.6,8.9,32,205
2011,ACURA,CSX,COMPACT,2.0,4,M6,Z,11.6,8.1,10.0,28,230
2011,ACURA,MDX AWD,SUV,3.7,6,AS6,Z,14.8,11.3,13.2,21,304
2011,ACURA,RDX AWD TURBO,SUV,2.3,4,AS5,Z,13.2,10.3,11.9,24,274
2011,ACURA,RL AWD,MID-SIZE,3.7,6,AS6,Z,13.7,9.7,11.9,24,274
2011,ACURA,TL,MID-SIZE,3.5,6,AS5,Z,13.1,8.9,11.2,25,258
2011,ACURA,TL AWD,MID-SIZE,3.7,6,AS5,Z,13.8,9.6,11.9,24,274
2011,ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,13.4,9.5,11.6,24,267
2011,ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.4,9.2,31,212
2011,ACURA,TSX,COMPACT,2.4,4,M6,Z,11.3,8.1,9.9,29,228
2011,ACURA,TSX,COMPACT,3.5,6,AS5,Z,12.1,8.3,10.4,27,239
2011,ACURA,ZDX AWD,SUV,3.7,6,AS6,Z,14.3,10.4,12.5,23,288
2011,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,AS6,Z,18.0,12.0,15.3,18,352
2011,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,M6,Z,20.8,13.7,17.6,16,405
2011,ASTON MARTIN,DBS,MINICOMPACT,5.9,12,AS6,Z,20.0,13.1,16.9,17,389
2011,ASTON MARTIN,DBS,MINICOMPACT,5.9,12,M6,Z,21.1,14.2,18.0,16,414
2011,ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,AS6,Z,18.6,12.2,15.7,18,361
2011,ASTON MARTIN,V12 VANTAGE,TWO-SEATER,5.9,12,M6,Z,21.1,14.2,18.0,16,414
2011,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM6,Z,17.0,11.9,14.7,19,338
2011,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354
2011,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.3,11.3,14.6,19,336
