MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km)
2004,BMW,325i TOURING,STATION WAGON - SMALL,2.5,6,A5,Z,13.8,9.5,11.9,24,274
2004,BMW,325i TOURING,STATION WAGON - SMALL,2.5,6,AM6,Z,12,8.1,10.3,27,237
2004,BMW,325i TOURING,STATION WAGON - SMALL,2.5,6,M5,Z,13.2,8.8,11.2,25,258
2004,BMW,325xi,COMPACT,2.5,6,A5,Z,13.7,9.9,12,24,276
2004,BMW,325xi,COMPACT,2.5,6,M5,Z,13.6,9.5,11.8,24,271
2004,BMW,325xi TOURING,STATION WAGON - SMALL,2.5,6,A5,Z,13.7,9.9,12,24,276
2004,BMW,325xi TOURING,STATION WAGON - SMALL,2.5,6,M5,Z,13.9,9.7,12,24,276
2004,BMW,330Ci,SUBCOMPACT,3,6,A5,Z,13.7,9.5,11.8,24,271
2004,BMW,330Ci,SUBCOMPACT,3,6,AM6,Z,13,8.7,11,26,253
2004,BMW,330Ci,SUBCOMPACT,3,6,M6,Z,13.2,8.6,11.1,25,255
2004,BMW,330Ci CONVERTIBLE,MINICOMPACT,3,6,A5,Z,14.4,10.1,12.4,23,285
2004,BMW,330Ci CONVERTIBLE,MINICOMPACT,3,6,AM6,Z,13.3,8.9,11.3,25,260
2004,BMW,330Ci CONVERTIBLE,MINICOMPACT,3,6,M6,Z,13.6,9,11.6,24,267
2004,BMW,330i,COMPACT,3,6,A5,Z,13.7,9.5,11.8,24,271
2004,BMW,330i,COMPACT,3,6,AM6,Z,13,8.7,11,26,253
2004,BMW,330i,COMPACT,3,6,M6,Z,13.2,8.6,11.1,25,255
2004,BMW,330xi,COMPACT,3,6,A5,Z,14.6,10.2,12.6,22,290
2004,BMW,330xi,COMPACT,3,6,M6,Z,13.3,8.8,11.3,25,260
2004,BMW,525i,MID-SIZE,2.5,6,A6,Z,14,9,11.8,24,271
2004,BMW,525i,MID-SIZE,2.5,6,M6,Z,13.2,8.8,11.2,25,258
2004,BMW,530i,MID-SIZE,3,6,A6,Z,14.5,9.3,12.1,23,278
2004,BMW,530i,MID-SIZE,3,6,AM6,Z,13,8.7,11,26,253
2004,BMW,530i,MID-SIZE,3,6,M6,Z,13.2,8.6,11.1,25,255
2004,BMW,545i,MID-SIZE,4.4,8,A6,Z,14.6,9.7,12.4,23,285
2004,BMW,545i,MID-SIZE,4.4,8,AM6,Z,16,10.3,13.4,21,308
2004,BMW,545i,MID-SIZE,4.4,8,M6,Z,16.1,10.2,13.4,21,308
2004,BMW,645Ci,SUBCOMPACT,4.4,8,A6,Z,14.6,9.7,12.4,23,285
2004,BMW,645Ci,SUBCOMPACT,4.4,8,AM6,Z,16,10.3,13.4,21,308
2004,BMW,645Ci,SUBCOMPACT,4.4,8,M6,Z,16.1,10.2,13.4,21,308
2004,BMW,645Ci CONVERTIBLE,SUBCOMPACT,4.4,8,A6,Z,14.7,9.8,12.5,23,288
2004,BMW,645Ci CONVERTIBLE,SUBCOMPACT,4.4,8,AM6,Z,17.3,11.1,14.5,19,334
2004,BMW,645Ci CONVERTIBLE,SUBCOMPACT,4.4,8,M6,Z,17.4,11.1,14.6,19,336
2004,BMW,745i,FULL-SIZE,4.4,8,A6,Z,14.7,9.8,12.5,23,288
2004,BMW,745Li,FULL-SIZE,4.4,8,A6,Z,14.7,9.8,12.5,23,288
2004,BMW,760Li,FULL-SIZE,6,12,A6,Z,17.6,11.2,14.7,19,338
2004,BMW,M3,SUBCOMPACT,3.2,6,AM6,Z,14.9,10.4,12.9,22,297
2004,BMW,M3,SUBCOMPACT,3.2,6,M6,Z,16.2,10.6,13.7,21,315
2004,BMW,M3 CONVERTIBLE,MINICOMPACT,3.2,6,AM6,Z,15.4,11.2,13.5,21,311
2004,BMW,M3 CONVERTIBLE,MINICOMPACT,3.2,6,M6,Z,16.6,11.1,14.1,20,324
2004,BMW,X3,SUV,3,6,A5,Z,16.5,11,14,20,322
2004,BMW,X3,SUV,3,6,M6,Z,15.4,10.4,13.2,21,304
2004,BMW,X5,SUV,3,6,A6,Z,16.6,12.2,14.6,19,336
2004,BMW,X5,SUV,3,6,M6,Z,17.7,11.9,15.1,19,347
2004,BMW,X5,SUV,4.4,8,A6,Z,16.5,11.7,14.3,20,329
2004,BMW,Z4 ROADSTER,TWO-SEATER,2.5,6,A5,Z,12.9,9.1,11.2,25,258
2004,BMW,Z4 ROADSTER,TWO-SEATER,2.5,6,AM6,Z,12.1,8.3,10.4,27,239
2004,BMW,Z4 ROADSTER,TWO-SEATER,2.5,6,M5,Z,13.2,9.3,11.4,25,262
2004,BMW,Z4 ROADSTER,TWO-SEATER,3,6,A5,Z,13.7,9.5,11.8,24,271
2004,BMW,Z4 ROADSTER,TWO-SEATER,3,6,AM6,Z,12.2,8.2,10.4,27,239
2004,BMW,Z4 ROADSTER,TWO-SEATER,3,6,M6,Z,12.9,8.8,11,26,253
2004,BUICK,CENTURY,MID-SIZE,3.1,6,A4,X,13.2,8.6,11.1,25,255
2004,BUICK,LESABRE,FULL-SIZE,3.8,6,A4,X,13.4,8.7,11.3,25,260
2004,BUICK,PARK AVENUE,FULL-SIZE,3.8,6,A4,X,13.4,8.7,11.3,25,260
2004,BUICK,PARK AVENUE #,FULL-SIZE,3.8,6,A4,Z,15,9.7,12.6,22,290
2004,BUICK,RAINIER,SUV,4.2,6,A4,X,16.8,12.2,14.7,19,338
2004,BUICK,RAINIER,SUV,5.3,8,A4,X,18,14.1,16.2,17,373
2004,BUICK,RAINIER AWD,SUV,4.2,6,A4,X,17.2,12.3,15,19,345
2004,BUICK,RAINIER AWD,SUV,5.3,8,A4,X,18.8,15.3,17.2,16,396
2004,BUICK,REGAL,MID-SIZE,3.8,6,A4,X,13.3,8.5,11.1,25,255
2004,BUICK,REGAL #,MID-SIZE,3.8,6,A4,Z,15,9.7,12.6,22,290
2004,BUICK,RENDEZVOUS,SUV,3.4,6,A4,X,13.5,9.3,11.6,24,267
2004,BUICK,RENDEZVOUS AWD,SUV,3.4,6,A4,X,15.3,11.3,13.5,21,311
2004,BUICK,RENDEZVOUS AWD,SUV,3.6,6,A4,X,14.9,10.1,12.7,22,292
2004,CADILLAC,CTS,MID-SIZE,3.2,6,M5,X,14.2,9.7,12.2,23,281
2004,CADILLAC,CTS,MID-SIZE,3.6,6,A5,X,15,9.3,12.4,23,285
2004,CADILLAC,DEVILLE,FULL-SIZE,4.6,8,A4,X,14.9,9.7,12.6,22,290
2004,CADILLAC,ESCALADE AWD,SUV,6,8,A4,X,20,15,17.7,16,407
2004,CADILLAC,ESCALADE ESV AWD,SUV,6,8,A4,X,20,15,17.7,16,407
2004,CADILLAC,ESCALADE EXT AWD,PICKUP TRUCK - STANDARD,6,8,A4,X,20,15,17.7,16,407
2004,CADILLAC,SEVILLE,MID-SIZE,4.6,8,A4,X,14.9,9.7,12.6,22,290
2004,CADILLAC,SRX,SUV,3.6,6,A5,X,16.1,11,13.8,20,317
2004,CADILLAC,SRX,SUV,4.6,8,A5,X,17.7,12.6,15.4,18,354
2004,CADILLAC,SRX AWD,SUV,3.6,6,A5,X,16.5,11.4,14.2,20,327
2004,CADILLAC,SRX AWD,SUV,4.6,8,A5,X,18,12.7,15.6,18,359
2004,CADILLAC,XLR,TWO-SEATER,4.6,8,AS5,X,15.9,10.3,13.3,21,306
2004,CHEVROLET,ASTRO AWD CARGO,VAN - CARGO,4.3,6,A4,X,19.1,14.7,17.2,16,396
2004,CHEVROLET,ASTRO AWD PASSENGER,VAN - CARGO,4.3,6,A4,X,19.1,14.7,17.2,16,396
2004,CHEVROLET,ASTRO CARGO,VAN - CARGO,4.3,6,A4,X,16.7,12.6,14.8,19,340
2004,CHEVROLET,ASTRO PASSENGER,VAN - PASSENGER,4.3,6,A4,X,18.4,13.9,16.4,17,377
2004,CHEVROLET,AVEO,COMPACT,1.6,4,A4,X,10.3,7.6,9.1,31,209
2004,CHEVROLET,AVEO,COMPACT,1.6,4,M5,X,10.1,7.3,8.9,32,205
2004,CHEVROLET,BLAZER 4X4,SUV,4.3,6,A4,X,18.6,14.6,16.8,17,386
2004,CHEVROLET,BLAZER 4X4,SUV,4.3,6,M5,X,19.3,14.1,16.9,17,389
2004,CHEVROLET,C1500 AVALANCHE,PICKUP TRUCK - STANDARD,5.3,8,A4,X,18,14.1,16.2,17,373
2004,CHEVROLET,C1500 AVALANCHE FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,X,18.8,14.1,16.7,17,384
2004,CHEVROLET,C1500 AVALANCHE FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,E,24.7,18.5,21.9,13,350
2004,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A4,X,18.4,13.9,16.4,17,377
2004,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,M5,X,17.8,12.3,15.3,18,352
2004,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,A4,X,16,12.9,14.6,19,336
2004,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,M5,X,18.7,12.9,16.1,18,370
2004,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A4,X,18,14.1,16.2,17,373
2004,CHEVROLET,C1500 SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,X,18.8,14.1,16.7,17,384
2004,CHEVROLET,C1500 SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,E,24.7,18.5,21.9,13,350
